Position ID,Bin ID,Price,Position Liquidity,Position X Amount,Position Y Amount,Liquidity Share (%)
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,-4,0.92384542602651421591,1.2453201713612313086128066794e+28,0,675.7924213846622,0.87%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,-3,0.94232233454704450023,1.2561868901606618763755357223e+28,0,681.1491231296502,0.87%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,-2,0.96116878123798539023,1.265180990652415536580706435e+28,0,686.5058242085378,0.85%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,-1,0.98039215686274509804,1.2726402739897316308170660352e+28,0,691.864188705981,0.84%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,0,1,1.2790526039014217811482767827e+28,0,693.8679560184518,0.75%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,1,1.02,1.6859243523785196001340887618e+28,898.7926807399197,0.03936636116682356,1.00%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,2,1.0404,1.9817490667296648763567547443e+28,1032.9784452445938,0,1.15%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,3,1.061208,1.9534252301325005946831170037e+28,1003.0601626117283,0,1.12%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,4,1.08243216,1.9402234539318901244914627917e+28,973.9906959508088,0,1.11%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,5,1.1040808032,1.9190733219284240348276659518e+28,945.6949326235922,0,1.10%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,6,1.126162419264,1.903356183105163149405847548e+28,918.1369159735808,0,1.11%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,7,1.14868566764928,1.8760656846529121552128988952e+28,886.3372966462078,0,1.12%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,8,1.1716593810022656,1.855698693840732124607607567e+28,859.6032948974707,0,1.07%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,9,1.195092568622310912,1.8367756982578630038802723543e+28,833.4471322835201,0,1.03%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,10,1.2189944199947571302,1.8104130835191814597213116879e+28,806.8634238483015,0,1.00%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,11,1.2433743083946522728,2.1460181061350073498787125621e+28,935.649944193618,0,1.16%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,12,1.2682417945625453183,2.0487729915457279889846594379e+28,878.5365188099565,0,1.16%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,13,1.2936066304537962247,1.9608798474923827575243108427e+28,823.3031076088628,0,1.07%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,14,1.3194787630628721492,1.8719646435290849323529977698e+28,769.8979448098974,0,1.01%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,15,1.3458683383241295921,1.7818798132241392579595431906e+28,718.2705682926025,0,0.94%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,16,1.372785705090612184,1.692275724256850335512634922e+28,668.3717932963038,0,0.89%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,17,1.4002414191924244277,1.5998819446280575072681141418e+28,620.1536812966049,0,0.84%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,18,1.4282462475762729162,1.508590612431050995464949271e+28,573.5695093516966,0,0.79%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,19,1.4568111725277983745,1.4198566275924747296126395679e+28,528.5737384036055,0,0.74%
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,20,1.485947395978354342,1.3297626075579772598388628512e+28,485.12198814577664,0,0.67%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,2,1.0404,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,3,1.061208,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,4,1.08243216,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,5,1.1040808032,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,6,1.126162419264,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,7,1.14868566764928,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,8,1.1716593810022656,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,9,1.195092568622310912,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,10,1.2189944199947571302,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,11,1.2433743083946522728,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,12,1.2682417945625453183,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,13,1.2936066304537962247,0,0,0,0.00%
