Position ID,Owner,Pool,Token X Qty,Token Y Qty,Lower Boundary,Upper Boundary,Is In Range,Unclaimed Fee X,Unclaimed Fee Y
E9ozpcVnfTtd3nn5WXk377bprMsYo7YzcCmiF5xefH2,Yj7SzJwGkHuUKBfFytp8TPfj997ntSicCCuJLiB39kE,unknown,478.5143567749834,1750.168690391753,0.13873624314570038,0.21968788602492845,true,34.548987,12.569475
88BwyhQ8tAn8EnknpCuRw4Xc7XFVHbjAnR81GXym9f4J,Yj7SzJwGkHuUKBfFytp8TPfj997ntSicCCuJLiB39kE,unknown,0,380.36840925579486,0.13038113896845754,0.19162879075980602,false,0.158514,0.132247
2VKtWWK9TdaNWumFbtigmKXyGPtrTjEVh9SwEazuNnVT,Yj7SzJwGkHuUKBfFytp8TPfj997ntSicCCuJLiB39kE,unknown,17864.549767495722,22274.918398379017,0.6095308705282791,1.4859473959783542,true,115.864464,117.437245
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,Yj7SzJwGkHuUKBfFytp8TPfj997ntSicCCuJLiB39kE,unknown,2816.1061927641076,0,1.0404,1.8475888157854208,false,3.583677,3.767201
AWvV1vo7Qpn7ciW7ZWHqRVYg8YsJeiEQJ7o8Atf3j6g9,Yj7SzJwGkHuUKBfFytp8TPfj997ntSicCCuJLiB39kE,unknown,0,0,0.20350739483444732,0.3060247274828877,false,0,0
HQAXSwFT5pkR7kxkUgsxuHQpd6uoTz3UkjE5FQ4mbY6v,Yj7SzJwGkHuUKBfFytp8TPfj997ntSicCCuJLiB39kE,unknown,2697.9109136798807,1322.277595344937,0.2533088819270292,0.41659984797288685,true,0,0
CFoi1J8REA2LsNz2KQXBLDSouUAnCc9SXjZCLM6XcGJB,Yj7SzJwGkHuUKBfFytp8TPfj997ntSicCCuJLiB39kE,unknown,0,0,0.09115595744798592,0.2769229820215975,true,0,0
FpWWenUyCsej3Tfos8UEFUEETAd8KetNWoJxwGkdfbH5,Yj7SzJwGkHuUKBfFytp8TPfj997ntSicCCuJLiB39kE,unknown,16389.288545292602,1204.6644743680597,0.06947403733282434,0.1288009814998028,true,13.381285,0
CyqN3g32FP5KacvzerCXFuhyPZRioFUeHmWozPs75qzY,Yj7SzJwGkHuUKBfFytp8TPfj997ntSicCCuJLiB39kE,unknown,0,0,24.877327974326942,39.710769211157796,false,0,0
JDBHtt89vGZ95Sk3yB3biwRXBbqseLwWpBJptLoRmt6n,Yj7SzJwGkHuUKBfFytp8TPfj997ntSicCCuJLiB39kE,unknown,2173.658828264771,4.884746468314178,20.591957343908227,29.1706235254587,true,19.316726,0.224864709
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,Yj7SzJwGkHuUKBfFytp8TPfj997ntSicCCuJLiB39kE,unknown,15987.806141932855,1465.2122008341653,0.12010121039448411,0.17529098766434278,true,90.18405,14.332282
Hx9dxDXnDfb3WC3EMXUJVbk7MeWQt8A19AX4VvpmbtJB,Yj7SzJwGkHuUKBfFytp8TPfj997ntSicCCuJLiB39kE,unknown,0,0,0.21484106811274503,0.36934607340941694,true,0,0
