Timestamp,Public Key,Token X Qty,Token Y Qty,Lower Boundary,Upper Boundary,Is In Range,Unclaimed Fee X,Unclaimed Fee Y


2025-03-06T14:23:26.019Z,3ARYTW684hDvnWzzXUEX8gcP5JxYy6AuTouyt1bXsnGJ,571610.246347,301430.061413,-159,-122,true,020df087,bfcb83
2025-03-06T14:23:26.025Z,6te8HR3NRuun1hL8ddeNFhR8FZyyQfWr1MNCCqxFYgds,2198561.776151,1817979.417958,-25,20,true,068e135e,061b0195
2025-03-06T14:23:26.032Z,F7K8qTwiNaD4WG1iZAMDY42jt8nC8UjcJt6Ug9F6EB2h,8003.449988,4318.720127,-160,-119,false,00,00
2025-03-06T14:23:26.038Z,HxEmkqK9BFG4ptNuAQaF7BLKGRTWLzEnEKw68xASBSWJ,719358.748107,55985.339657,-97,-52,false,00,00
2025-03-06T14:23:26.041Z,7UMb4EMDVpvujHA5ZZiZbe4uCUEuAWSu4aq84Sv53sPH,847095.592344,5886.199353557,323,370,false,00,00
2025-03-06T14:23:26.042Z,4gj2vSZAWT9vPC3SzdoJLgw7vaXrUg3PC5dBhBNf5zHF,2096876.652603,45283.066215,-213,-175,true,035aba15,a249f7
2025-03-06T14:23:26.044Z,tn2Z58o2d1NH9GXgV5iJkEgjtPWPunZvZ3a8oK9TtXe,2182871.091286,115105.973873,-193,-125,true,00,00
